Artikel	Beskrivning	"Vikt netto"	Plockplats	Plocksaldo	Kundorder	Diff	Buffertsaldo	"Saldo automation"	"Automation diff"	"Saldo kran"	"Kran diff"	"Saldo autoplock"	"Autoplock diff"	Utbeställt	Inlagring	Ankommande	"Pågående plock"	"För och under plock"	Saldo	Diff2	Externt	Lager	Bolag	Batchartikel	Klassificering	Robot
10031	"Liten Plastrulle"	0		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	404	GG			N
10033	"Stor Plastslang"	0		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	3	0	404	GG			N
1003376	"RC DOG BABY DOG MILK 400G"	"0,55"		0	2	-2	0	16	14	0	-2	16	14	0	0	0	0	0	16	14	0	404	GG	N	B	Y
1003835	"SALVA HUND FYRA ESS 100 ML"	"0,12"		0	0	0	0	114	114	0	0	114	114	0	0	0	0	0	114	114	0	404	GG	N	B	Y
1004935	"HELOSANSALVA 300 GRAM"	"0,33"		0	16	-16	0	607	591	0	-16	607	591	0	0	0	0	0	607	591	0	404	GG	N	H	Y
10056	"A-4 Papper"	0		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	404	GG			N
1007552	"BLUNDSTONE 500 STL37"	"0,96"		0	28	-28	56	111	83	56	28	55	27	0	0	454	0	0	111	83	0	404	GG	N	G	Y
1007553	"BLUNDSTONE 500 STL38"	"1,06"		0	24	-24	384	439	415	384	360	55	31	0	0	492	0	0	439	415	0	404	GG	N	G	Y
1007554	"BLUNDSTONE 500 STL39"	"1,06"		0	39	-39	256	286	247	256	217	30	-9	96	0	600	0	0	286	247	0	404	GG	N	G	Y
1007555	"BLUNDSTONE 500 STL40"	"1,06"		0	6	-6	40	128	122	40	34	88	82	0	0	310	0	0	128	122	0	404	GG	N	G	Y
1007556	"BLUNDSTONE 500 STL41"	"1,14"		0	5	-5	144	220	215	144	139	76	71	0	0	383	0	0	220	215	0	404	GG	N	G	Y
1007557	"BLUNDSTONE 500 STL42"	"1,17"		0	46	-46	128	162	116	128	82	34	-12	0	96	510	0	0	258	212	0	404	GG	N	G	Y
1007558	"BLUNDSTONE 500 STL43"	"1,18"		0	31	-31	464	523	492	464	433	59	28	0	0	430	0	0	523	492	0	404	GG	N	G	Y
1007559	"BLUNDSTONE 500 STL44"	"1,26"		0	50	-50	48	177	127	48	-2	129	79	0	0	290	0	0	177	127	0	404	GG	N	G	Y
1007560	"BLUNDSTONE 500 STL45"	"1,28"		0	24	-24	0	85	61	0	-24	85	61	0	0	188	0	0	85	61	0	404	GG	N	G	Y
1007561	"BLUNDSTONE 500 STL46"	"1,33"		0	14	-14	64	127	113	64	50	63	49	0	0	210	0	0	127	113	0	404	GG	N	G	Y
1008917	"TRÄSKO ALFRED MOHEDA SVART 36"	"0,82"		0	0	0	0	149	149	0	0	149	149	0	0	0	0	0	149	149	0	404	GG	N	G	Y
1008918	"TRÄSKO ALFRED MOHEDA SVART 37"	"0,82"		0	0	0	0	96	96	0	0	96	96	0	0	0	0	0	96	96	0	404	GG	N	G	Y
1008919	"TRÄSKO ALFRED MOHEDA SVART 38"	"0,82"		0	0	0	0	23	23	0	0	23	23	0	0	36	0	0	23	23	0	404	GG	N	G	Y
1008920	"TRÄSKO ALFRED MOHEDA SVART 39"	"0,82"		0	1	-1	0	43	42	0	-1	43	42	0	0	36	0	0	43	42	0	404	GG	N	G	Y
1008921	"TRÄSKO ANTON MOHEDA SVART 40"	"1,11"		0	2	-2	0	34	32	0	-2	34	32	0	0	108	0	0	34	32	0	404	GG	N	G	Y
1008922	"TRÄSKO ANTON MOHEDA SVART 41"	"1,11"		0	4	-4	0	105	101	0	-4	105	101	0	0	108	0	0	105	101	0	404	GG	N	G	Y
1008923	"TRÄSKO ANTON MOHEDA SVART 42"	"1,11"		0	7	-7	0	109	102	0	-7	109	102	0	0	108	0	0	109	102	0	404	GG	N	G	Y
1008924	"TRÄSKO ANTON MOHEDA SVART 43"	"1,11"		0	0	0	0	135	135	0	0	135	135	0	0	216	0	0	135	135	0	404	GG	N	G	Y
1008926	"TRÄSKO ANTON MOHEDA SVART 45"	"1,11"		0	8	-8	108	118	110	108	100	10	2	0	0	108	0	0	118	110	0	404	GG	N	G	Y
1008927	"TRÄSKO ANTON MOHEDA SVART 46"	"1,11"		0	0	0	0	28	28	0	0	28	28	0	0	108	0	0	28	28	0	404	GG	N	G	Y
1008957	"TRÄSKO WASA MOHEDA PU SVART 38"	"0,71"		0	0	0	94	160	160	94	94	66	66	0	0	0	0	0	160	160	0	404	GG	N	G	Y
1008958	"TRÄSKO WASA MOHEDA PU SVART 39"	"0,71"		0	0	0	80	157	157	80	80	77	77	0	0	0	0	0	157	157	0	404	GG	N	G	Y
1008959	"TRÄSKO WASA MOHEDA PU SVART 40"	"0,93"		0	0	0	0	23	23	0	0	23	23	0	0	36	0	0	23	23	0	404	GG	N	G	Y
1008960	"TRÄSKO WASA MOHEDA PU SVART 41"	"0,93"		0	4	-4	0	103	99	0	-4	103	99	0	0	0	0	0	103	99	0	404	GG	N	G	Y
1008961	"TRÄSKO WASA MOHEDA PU SVART 42"	"0,93"		0	8	-8	0	117	109	0	-8	117	109	0	0	108	0	0	117	109	0	404	GG	N	G	Y
1008962	"TRÄSKO WASA MOHEDA PU SVART 43"	"0,93"		0	0	0	108	140	140	108	108	32	32	0	0	108	0	0	140	140	0	404	GG	N	G	Y
1008963	"TRÄSKO WASA MOHEDA PU SVART 44"	"0,93"		0	2	-2	0	54	52	0	-2	54	52	0	0	108	0	0	54	52	0	404	GG	N	G	Y
1008964	"TRÄSKO WASA MOHEDA PU SVART 45"	"0,93"		0	4	-4	0	106	102	0	-4	106	102	0	0	108	0	0	106	102	0	404	GG	N	G	Y
1008965	"TRÄSKO WASA MOHEDA PU SVART 46"	"0,93"		0	6	-6	0	18	12	0	-6	18	12	0	0	108	0	0	18	12	0	404	GG	N	G	Y
1009863	"SEKATÖR FELCO 2"	"0,41"		0	22	-22	0	22	0	0	-22	22	0	0	24	150	0	0	46	24	0	404	GG	N	F	Y
1009867	"SEKATÖR FELCO  6"	"0,38"		0	23	-23	0	22	-1	0	-23	22	-1	0	24	100	0	0	46	23	0	404	GG	N	F	Y
1010102	"FLAGGLINA VIT 5MM 34 M"	"0,05"		0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	404	GG	N	F	N
1010843	"KALCIUMKLORID CC ROAD 25KG<"	"25,2"		0	42	-42	1413	0	-42	0	-42	0	-42	0	0	1680	0	0	1413	1371	0	404	GG	N	A	N
1011506	"CRIB HALT MOT KRUBBITNING"	"0,55"		0	2	-2	0	251	249	0	-2	251	249	0	0	168	0	0	251	249	0	404	GG	N	D	Y
1011547	"SALVA FYRA ESS 250ML"	"0,25"		0	0	0	0	262	262	0	0	262	262	0	0	0	0	0	262	262	0	404	GG	N	D	Y
1011548	"SALVA FYRA ESS 500ML"	"0,5"		0	0	0	0	450	450	0	0	450	450	0	0	0	0	0	450	450	0	404	GG	N	D	Y
1011588	"NO BITE CREAM MOT TÄCKESBITNING"	"0,6"		0	3	-3	0	195	192	0	-3	195	192	0	0	220	0	0	195	192	0	404	GG	N	D	Y
1011676	"CHEVINAL PLUS 5L"	"6,3"		0	4	-4	148	148	144	148	144	0	-4	0	0	148	0	0	148	144	0	404	GG	N	A	N
1011709	"BIOTIN FORAN HOOF AID FLYTANDE 1L"	"1,28"		0	2	-2	0	44	42	0	-2	44	42	0	0	132	0	0	44	42	0	404	GG	N	A	Y
1011726	"E-VITAMIN FORAN VSL 1KG"	"1,1"		0	1	-1	0	10	9	0	-1	10	9	0	0	120	0	0	10	9	0	404	GG	N	A	Y
1015149	"PADDOCK 20X60M KOMPLETT OCTO"	1650		0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	404	GG	N	E	N
1015834	"DISKBORSTE VIT/BLÅ DELAVAL"	"0,07"		0	562	-562	8092	8092	7530	8092	7530	0	-562	756	0	0	0	0	8092	7530	0	404	GG	N	H	Y
1018061	"BINDRING 80MM TRÄSKRUV"	"0,26"		0	10	-10	0	13	3	0	-10	13	3	0	0	0	0	0	13	3	0	404	GG	N	H	Y
1018070	"KRUBBRING 65X7 MM 2 ST"	"0,12"		0	0	0	0	33	33	0	0	33	33	0	0	0	0	0	33	33	0	404	GG	N	H	Y
1018114	"BINDSLE KO/UNG KÄTTING KOMPL"	"1,3"		0	0	0	0	5	5	0	0	5	5	0	0	0	0	0	5	5	0	404	GG	N	H	Y
1018121	"KALVGRIMMA KÄTTING"	"0,84"		0	0	0	0	13	13	0	0	13	13	0	0	0	0	0	13	13	0	404	GG	N	H	Y
1018133	"KARBINHAKE 90 MM UTÅTÖPPNAD"	"0,14"		0	0	0	0	30	30	0	0	30	30	0	0	0	0	0	30	30	0	404	GG	N	H	Y
1018143	"KOGRIMMA KÄTTING"	"1,08"		0	0	0	0	2	2	0	0	2	2	0	0	0	0	0	2	2	0	404	GG	N	H	Y
1018149	"KRAMPA 100 MM HUGGEN 5 ST"	"0,3"		0	0	0	0	29	29	0	0	29	29	0	0	0	0	0	29	29	0	404	GG	N	E	Y
1018158	"KRUBBÄNDE KÄTTING KO/TJUR 60CM"	"1,33"		0	0	0	0	10	10	0	0	10	10	0	0	0	0	0	10	10	0	404	GG	N	H	Y
1018193	"GLIDSPÄNNE 27MM HALS/KRUBB 2ST"	"0,09"		0	0	0	0	56	56	0	0	56	56	0	0	0	0	0	56	56	0	404	GG	N	H	Y
1018198	"TJURGRIMMA KÄTTING"	"1,76"		0	0	0	0	2	2	0	0	2	2	0	0	0	0	0	2	2	0	404	GG	N	H	Y
1018205	"KVIGGRIMMA KÄTTING"	"0,98"		0	0	0	0	7	7	0	0	7	7	0	0	0	0	0	7	7	0	404	GG	N	H	Y
1018207	"UPPBINDNINGSRING FÄSTPLATTA"	"0,1"		0	20	-20	0	532	512	0	-20	532	512	0	0	0	0	0	532	512	0	404	GG	N	H	Y
1018245	"SPARKBÅGE STÄLLBAR TILL KO"	"1,4"		0	0	0	0	12	12	0	0	12	12	0	0	0	0	0	12	12	0	404	GG	N	H	Y
