Pallid	Status	Ordernr	Yta	Kund	Kund	Antal	Artikel	Beskrivning	Packklass	Ändrad	Användare	Kö	Prioritet	Lagerplats	Zon	Bolag	Lager	Batch	Sändningsnr	Utgångsdatum	"Pågående Plock"	"Plockplats Diff"	SSCC	Avgång	Krangång
691747	30	324094	UTL255/UTL256	402	"Bolist Älvkarleby"	30	700307477	"UNDERLAGSDUK HALOTEN STEEL 12X1M"	0	"2026-03-16 13:13:12"	OrderGenerator	3	5	LL29013	V	MG	JKP		MG-JKP-260317-1715020-0		0	40	273500916306917474		
695635	30	311493	UTL289/UTL290	627	"XL-BYGG Finspång"	1	200911160	"TRALLSKRUV CS TX20 4,2X55 1000ST XPO"	0	"2026-03-17 06:38:19"	OrderGenerator	3	5	LL25033	V	MG	JKP		MG-JKP-260317-1714993-0		0	0	273500916306956350		
695634	30	311478	UTL338/UTL339/UTL340/UTL341	311	"Bolist Trosa"	1	200911160	"TRALLSKRUV CS TX20 4,2X55 1000ST XPO"	0	"2026-03-17 06:38:19"	OrderGenerator	3	5	LL25023	V	MG	JKP		MG-JKP-260317-1715017-0		0	0	273500916306956343		
371824	30					4	700174512	"VEDKLYV LSH 520/5 AL-KO"	0	"2026-03-17 06:35:21"	ANTO87	2	5	LL01044	V	MG	JKP				0	-1	273500916303718241		
689229	30					660	700329774	"FOGMASSA AKRYL A990 PREMIUM ACRYLIC VIT 0,6L"		"2026-03-17 06:35:31"	ANTO87	2	5	LK29024	V	MG	JKP				0	-108	273500916306892290		
695249	30	311493	UTL289/UTL290	627	"XL-BYGG Finspång"	1	200911150	"TRALLSKRUV CS TX20 4,2X55 250ST XPO"	0	"2026-03-17 06:38:19"	OrderGenerator	3	5	LK05033	V	MG	JKP		MG-JKP-260317-1714993-0		0	0	273500916306952499		
691007	30					1200	700141555	"VINKEL 90 UF JOMA 2,5X90X90X65MM"	0	"2026-03-17 06:35:36"	ANTO87	2	5	LJ28033	V	MG	JKP				0	-50	273500916306910079		
719517	30	324176	UTL269/UTL270/UTL271	341	"Bolist Taberg"	56	700326035	"LAMINAT SUPERIOR ADVANCED 3128 OAK BROWN 8MM 2,131M2"	0	"2026-03-17 06:38:02"	OrderGenerator	3	5	LJ17033	V	MG	JKP		MG-JKP-260317-1715001-0		0	112	273500916307195178		
719539	30	324193	UTL346/UTL347	377	Gustis	56	700170996	"LAMINAT ADVANCED 3126 TREND OAK GREY 2,131M2"	0	"2026-03-17 06:38:22"	OrderGenerator	3	5	LJ11013	V	MG	JKP		MG-JKP-260317-1715003-0		0	59	273500916307195390		
689671	30	311493	UTL289/UTL290	627	"XL-BYGG Finspång"	1	200911139	"TRÄSKRUV ESSDRIVE FH CS 5,0X80/5,0X90/5,0X100 MIX"	0	"2026-03-17 06:38:19"	OrderGenerator	3	5	LI46024	V	MG	JKP		MG-JKP-260317-1714993-0		0	0	273500916306896717		
644171	30					384	200163770	"FARMARSKRUV BORRSPETS SEXKANTS M BRICKA SVART 4,8X20 250"	0	"2026-03-17 06:35:32"	ANTO87	2	5	LI31023	V	MG	JKP				0	-1	273500916306441719		
687900	30					1	200911157	"TRALLSKRUV CS TX20 4,2X55/4,5X75 MIX"	0	"2026-03-17 06:37:06"	ANTO87	2	5	LI29023	V	MG	JKP				0	0	273500916306879000		
688054	30					1	200911152	"TRALLSKRUV ESSDECK MAX TX20 CS 4,8X55T/4,8X75 MIX"	0	"2026-03-17 06:37:06"	ANTO87	2	5	LI05023	V	MG	JKP				0	0	273500916306880549		
699494	30	311478	UTL338/UTL339/UTL340/UTL341	311	"Bolist Trosa"	1	200911143	"TRALLSKRUV ESSDECK MAX TX20 CORRSEAL 4,8X55 1000ST XPO"	0	"2026-03-17 06:38:19"	OrderGenerator	3	5	LI04023	V	MG	JKP		MG-JKP-260317-1715017-0		0	0	273500916306994949		
382297	30					64	700176550	"GRÄSGÖDSEL STROLLER PLUS 8,75 KG/CA 250M2"	0	"2026-03-16 15:24:01"	"NT SERVICE\SQLSERVERAGENT"	2	5	LH29013	Y	MG	JKP				0	2	273500916303822979		
667159	30					360	700097456	"FASADRENGÖRING MÅLARTVÄTT 1L 1L"	0	"2026-03-17 06:35:41"	ANTO87	2	5	LH27033	Y	MG	JKP				0	-133	273500916306671598		
688036	30	311478	UTL338/UTL339/UTL340/UTL341	311	"Bolist Trosa"	1	200911152	"TRALLSKRUV ESSDECK MAX TX20 CS 4,8X55T/4,8X75 MIX"	0	"2026-03-17 06:38:19"	OrderGenerator	3	5	LH14014	Y	MG	JKP		MG-JKP-260317-1715017-0		0	0	273500916306880365		
687888	30	311478	UTL338/UTL339/UTL340/UTL341	311	"Bolist Trosa"	1	200911157	"TRALLSKRUV CS TX20 4,2X55/4,5X75 MIX"	0	"2026-03-17 06:38:19"	OrderGenerator	3	5	LH06034	Y	MG	JKP		MG-JKP-260317-1715017-0		0	0	273500916306878881		
673542	30					108	200897194	"BEKÄMPNINGSMEDEL GRÖN-FRI BIOCID 5L"	0	"2026-03-17 06:35:47"	ANTO87	2	5	LG46035	Y	MG	JKP				0	-27	273500916306735429		
716012	30					56	700083520	"DAMMBINDNING 1K 4L DAMMBINDNING 1K 4 L"		"2026-03-17 06:35:54"	ANTO87	2	5	LG39034	Y	MG	JKP				0	-1	273500916307160121		
677883	30					2	200920435	"GRÖN-FRI 5L HALVPALL EXPOARTIKEL"	0	"2026-03-16 12:38:03"	ANTO87	2	5	LG26024	Y	MG	JKP				0	-2	273500916306778839		
386949	30					120	700174126	"TRÄOLJA HAGMANS TRÄOLJA V PREMIUM 3L HAG"		"2026-03-17 06:36:45"	ANTO87	2	5	LF44035	Y	MG	JKP				0	-29	273500916303869493		
696972	30					44	200001896	"CEMENTFIX TILE ADHESIVE 8010 COMBI 5KG"		"2026-03-16 12:36:13"	ANTO87	2	5	LE29033	Y	MG	JKP			2026-09-29	0	-2	273500916306969725		
648829	30					120	200841066	"VÅTRUMSFÄRG LADY AQUA MATT C-BAS 2,7L"	0	"2026-03-16 12:36:11"	ANTO87	2	5	LE15036	Y	MG	JKP				0	-1	273500916306488295		
647260	30					120	200273547	"KALKFÄRG LADY MINERALS 2,7L 2,7L"	0	"2026-03-16 12:35:47"	ANTO87	2	5	LE08035	Y	MG	JKP				0	-1	273500916306472607		
631638	30					48	700338422	"IS&SNÖSMÄLTNINGSMEDEL ISNIX -40°C 5L"		"2026-03-17 06:36:47"	ANTO87	2	5	LD06024	Y	MG	JKP				0	-5	273500916306316383		
687179	30	305698	UTL218/UTL219/UTL220/UTL221/UTL222	192283	"Happy Homes Borås AB"	44	200272215	"TÄCKFÄRG DEMIDEKK INFINITY BAS A 9L"	0	"2026-03-17 06:38:11"	OrderGenerator	3	5	LC50014	Y	MG	JKP		MG-JKP-260317-1756793-0		0	6	273500916306871790		
715993	30					40	200002113	"VÄVLIM HERNIA PVP VARIANT 15L"		"2026-03-17 06:36:50"	ANTO87	2	5	LC35025	Y	MG	JKP			2027-02-24	0	7	273500916307159934		
