Status	Prioritet	"Pall nr"	"Batch nr"	Artikel	Artikel	Område	Ändrad	Antal	Vikt	Användare	Kö	Utgång	SSCC	Bolag	Lager	"Antal per lav"	Detalj	Kontrolind	Viktartikel	Palltyp	"Pack klass"	"Mix Pall"	Inköpsnr	"Crossdock Ind"	Produktionsdatum	"Robot Ind"
30	5	720180		700315489	"UNDERLAGSDUK HALOTEN PRO 25X1M 25X1M"		"2026-03-16 11:58:57"	24	0	ALIC77	4		273500916307201800	MG	JKP	0	C	N	N	EUR	0		999111135	N		N
30	5	720120		1186416	"HÄSTFODER GG ORIGINAL PELLETS 20KG."		"2026-03-16 11:48:51"	24	0	ISAK02	4	2026-08-26	273500916307201206	GG	404	0	C	N	N	EUR	0		500310647	N	2026-02-27	N
30	5	720118		1186416	"HÄSTFODER GG ORIGINAL PELLETS 20KG."		"2026-03-16 11:48:51"	24	0	ISAK02	4	2026-08-26	273500916307201183	GG	404	0	C	N	N	EUR	0		500310647	N	2026-02-27	N
30	5	720076		2000508	"TUGGPINNAR M KYCKLING 6-P 12CM"	UTE04	"2026-03-16 11:44:50"	160	0	HEED12	4	2028-11-10	273500916307200766	GG	404	0	C	N	N	EUR	0		500320661	N	2025-11-11	Y
30	5	720073		2002610	"KAM MEDIUM"	UTE04	"2026-03-16 11:44:50"	12	0	HEED12	4		273500916307200735	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	720048		2002613	"KAM UTREDNING"	UTE04	"2026-03-16 11:44:50"	32	0	HEED12	4		273500916307200483	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	720095		2000611	"KATTHALSBAND RIFFE LÅNGHÅR GUL"	UTE04	"2026-03-16 11:44:50"	40	0	HEED12	4		273500916307200957	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	720071		2002612	"KAM ROTERANDE"	UTE04	"2026-03-16 11:44:50"	4	0	HEED12	4		273500916307200711	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	720093		2000552	"KATTHALSBAND SIRI SVART 25-30CM"	UTE04	"2026-03-16 11:44:50"	20	0	HEED12	4		273500916307200933	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	720092		2000509	"TUGGPINNAR MED LAMM 5-P 12,5CM"	UTE04	"2026-03-16 11:44:48"	170	0	HEED12	4	2028-06-10	273500916307200926	GG	404	0	C	N	N	EUR	0		500320661	N	2025-06-11	Y
30	5	719933		2000467	"LÄTTSTRÖ HAMPA 10KG"		"2026-03-16 11:06:45"	18	0	ISAK02	4		273500916307199336	GG	404	0	C	N	N	EUR	0		500320028	N		N
30	5	719886		200920434	"UNDERHÅLLSTVÄTT 5L KVARTSPALL EXPOARTIKEL"		"2026-03-16 10:45:03"	2	0	SAND18	4		273500916307198865	MG	JKP	0	C	N	N	EUR	0		999111130	N		N
30	5	719852		2000563	"HUNDLEKSAK COZY BOAR"	UTE04	"2026-03-16 10:38:51"	132	0	HEED12	4		273500916307198520	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719577		2000532719135	"JUST. HALSBAND IRIS XL ORANGE"	UTE03	"2026-03-16 10:33:05"	20	0	HEED12	4		273500916307195772	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719650		2002624	"SAX EFFILERING"	UTE03	"2026-03-16 10:33:05"	16	0	HEED12	4		273500916307196502	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719647		2002618	"KLOTÅNG MINI"	UTE03	"2026-03-16 10:33:05"	60	0	HEED12	4		273500916307196472	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719582		2003218	"KATTLEKSAK KICKER GRÅ 8X38CM"	UTE03	"2026-03-16 10:33:05"	24	0	HEED12	4		273500916307195826	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719585		2002583	"DOGMAN ÖRONRENGÖRING 50ML"	UTE03	"2026-03-16 10:33:05"	36	0	HEED12	4	2028-05-13	273500916307195857	GG	404	0	C	N	N	EUR	0		500320661	N	2025-05-14	Y
30	5	719597		2000549166888	"MATSKÅL ROSTFRI HEAVY 0,33 L -"	UTE03	"2026-03-16 10:33:04"	20	0	HEED12	4		273500916307195970	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719609		2000549168888	"MATSKÅL ROSTFRI HEAVY 0,45 L -"	UTE03	"2026-03-16 10:33:04"	80	0	HEED12	4		273500916307196090	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719632		2002584	"DOGMAN ÖGONRENGÖRING 50ML"	UTE03	"2026-03-16 10:33:04"	30	0	HEED12	4	2028-01-09	273500916307196328	GG	404	0	C	N	N	EUR	0		500320661	N	2025-01-09	Y
30	5	719573		2000550	"KATTHALSBAND RIFFE GUL"	UTE03	"2026-03-16 10:33:04"	10	0	HEED12	4		273500916307195734	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719569		2000529162200	"ANTISLIP-KOPPEL IRIS 180 CM SVART"	UTE03	"2026-03-16 10:33:04"	5	0	HEED12	4		273500916307195697	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719568		2000527276135	"KOPPEL IRIS 25 MM ORANGE"	UTE03	"2026-03-16 10:33:04"	15	0	HEED12	4		273500916307195680	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719562		2003220	"KLOTÅNG LARGE"	UTE03	"2026-03-16 10:33:04"	16	0	HEED12	4		273500916307195628	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719558		2000532716135	"JUST. HALSBAND IRIS S ORANGE"	UTE03	"2026-03-16 10:33:04"	50	0	HEED12	4		273500916307195581	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719633		2002621	"BLODSTOPP 14G"	UTE03	"2026-03-16 10:33:04"	36	0	HEED12	4		273500916307196335	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719640		2002619	"KLOTÅNG MEDIUM"	UTE03	"2026-03-16 10:33:04"	52	0	HEED12	4		273500916307196403	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719641		2002604	"MATSKÅL MASON CASH SMOKEY 16x13CM"	UTE03	"2026-03-16 10:33:04"	6	0	HEED12	4		273500916307196410	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719638		2002623	"SAX RUNDAD"	UTE03	"2026-03-16 10:33:04"	36	0	HEED12	4		273500916307196380	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719718		2002556	"MIDJEBÄLTE EMMI SVART"	UTE03	"2026-03-16 10:33:04"	5	0	HEED12	4		273500916307197189	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719705		2000528162200	"KANALKOPPEL VERA 180 CM SVART"	UTE03	"2026-03-16 10:33:04"	30	0	HEED12	4		273500916307197059	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719704		2000529300200	"ANTISLIP-KOPPEL IRIS 3 M SVART"	UTE03	"2026-03-16 10:33:04"	30	0	HEED12	4		273500916307197042	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719706		2000525741200	"KOPPEL IRIS 10 MM SVART"	UTE03	"2026-03-16 10:33:04"	25	0	HEED12	4		273500916307197066	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719740		2000530718200	"JUST. HALSBAND IRIS L SVART"	UTE03	"2026-03-16 10:33:04"	25	0	HEED12	4		273500916307197400	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719743		2000547716170	"JUST. HALSB IRIS S TURKOS"	UTE03	"2026-03-16 10:33:04"	15	0	HEED12	4		273500916307197431	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719727		2002633422220	"HALSKRAGE STÄLLBAR 10 CM TRANSPARENT"	UTE03	"2026-03-16 10:33:04"	6	0	HEED12	4		273500916307197271	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719702		2002586	"KATTLEKSAK SPÖ MED SVANSAR"	UTE03	"2026-03-16 10:33:04"	24	0	HEED12	4		273500916307197028	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719700		2002591	"KATTLEKSAK UPPDRAGBAR KYCKLING"	UTE03	"2026-03-16 10:33:04"	12	0	HEED12	4		273500916307197004	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719698		2003205749110	"TRÄNINGSLEKSAK KAMPTRASA 35 CM BRUN"	UTE03	"2026-03-16 10:33:04"	5	0	HEED12	4		273500916307196984	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719715		2000549169888	"MATSKÅL ROSTFRI HEAVY 0,80 L -"	UTE03	"2026-03-16 10:33:04"	130	0	HEED12	4		273500916307197158	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719750		2002597	"SELE-SET FINDUS LILA"	UTE03	"2026-03-16 10:33:04"	10	0	HEED12	4		273500916307197509	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719830		2000530716200	"JUST. HALSBAND IRIS S SVART"	UTE03	"2026-03-16 10:33:04"	5	0	HEED12	4		273500916307198308	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719695		2002582	"SPÅRLINA IRIS VÄVD 15M ORANGE"	UTE03	"2026-03-16 10:33:04"	5	0	HEED12	4		273500916307196953	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719831		700307381	"SHINGEL NORDIC SVART"		"2026-03-16 10:31:49"	42	0	SAND18	4		273500916307198315	MG	JKP	0	C	N	N	EUR	0		999111137	N		N
30	5	719719		2000489	"TUGGBEN PRESSAD 13CM"	UTE03	"2026-03-16 10:24:31"	440	0	HEED12	4	2028-12-18	273500916307197196	GG	404	0	C	N	N	EUR	0		500320661	N	2025-12-19	Y
30	5	719701		2000570	"HUNDLEKSAK REPRING 16CM"	UTE03	"2026-03-16 10:24:31"	18	0	HEED12	4		273500916307197011	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719734		1244128	"KOPPEL FLEXI NEW NEON BAND L 5M"	UTE03	"2026-03-16 10:24:31"	24	0	HEED12	4		273500916307197349	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719733		1236856	"KOPPEL FLEXI NEW NEON BAND S 5M."	UTE03	"2026-03-16 10:24:31"	24	0	HEED12	4		273500916307197332	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719731		2002633748220	"HALSKRAGE STÄLLBAR 30 CM TRANSPARENT"		"2026-03-16 10:21:11"	18	0	HEED12	4		273500916307197318	GG	404	0	C	N	N	EUR	0		500320661	N		N
30	5	719729		2002633747220	"HALSKRAGE STÄLLBAR 25 CM TRANSPARENT"		"2026-03-16 10:19:16"	12	0	HEED12	4		273500916307197295	GG	404	0	C	N	N	EUR	0		500320661	N		N
30	5	719720		2000493	"TUGGRULLE HEAVENLY 15-17,5CM KYCK"	UTE03	"2026-03-16 10:14:25"	329	0	HEED12	4	2029-09-01	273500916307197202	GG	404	0	C	N	N	EUR	0		500320661	N	2026-09-02	Y
30	5	719713		2000504	"TUGGRING VIT 7,5CM"	UTE03	"2026-03-16 10:14:24"	350	0	HEED12	4	2028-05-10	273500916307197134	GG	404	0	C	N	N	EUR	0		500320661	N	2025-05-11	Y
20	5	719694		2002574716200	"CANVASBUR MILOU S SVART"		"2026-03-16 09:54:15"	6	0	HEED12	4		273500916307196946	GG	404	0	C	N	N	EUR	0		500320661	N		Y
30	5	719682		2002574717200	"CANVASBUR MILOU M SVART"		"2026-03-16 09:53:10"	5	0	HEED12	4		273500916307196823	GG	404	0	C	N	N	EUR	0		500320661	N		N
30	5	719644		2000514	"TORKAT OXBEN MÄRGPIPA OX CA 500G"	UTE03	"2026-03-16 09:49:35"	80	0	HEED12	4	2028-02-10	273500916307196441	GG	404	0	C	N	N	EUR	0		500320661	N	2026-02-10	Y
30	5	719607		2000505	"TUGGRING VIT 12,5CM OPACKAD"	UTE03	"2026-03-16 09:49:35"	400	0	HEED12	4	2028-05-30	273500916307196076	GG	404	0	C	N	N	EUR	0		500320661	N	2025-05-31	Y
30	5	719659		2000512	"TORKAT BOGBLAD GRIS CA 150G"	UTE03	"2026-03-16 09:48:11"	140	0	HEED12	4	2028-01-13	273500916307196595	GG	404	0	C	N	N	EUR	0		500320661	N	2026-01-13	Y
30	5	719662		2000513	"TORKAT KÖTTBEN GRIS SVENSKAT CA 250G"	UTE03	"2026-03-16 09:47:36"	400	0	HEED12	4	2028-02-10	273500916307196625	GG	404	0	C	N	N	EUR	0		500320661	N	2026-02-10	Y
30	5	719615		2000500	"TUGGBEN PRESSAT VIT 21,5CM"	UTE03	"2026-03-16 09:17:28"	600	0	HEED12	4	2028-05-10	273500916307196151	GG	404	0	C	N	N	EUR	0		500320661	N	2025-05-11	Y
20	5	689247		10009	"Autostore kartong"		"2026-03-16 08:45:51"	1	117	SEBA23	4		273500916306892474	GG	404	0	C	N	N	EUR			66360			N
20	5	689271		10009	"Autostore kartong"		"2026-03-16 08:41:23"	1	117	BRAH17	4		273500916306892719	GG	404	0	C	N	N	EUR			66384			N
30	5	719385		700176504	"STOLPSPJUT JOMA 2X73X73X750MM"		"2026-03-16 08:05:14"	364	0	NUUR54	4		273500916307193853	MG	JKP	0	C	N	N	EUR	0		999111061	N		N
35	5	719383		2003723240888	"SPOLARVÄTSKA T-BLÅ FB  -18 3 L -"		"2026-03-16 08:02:14"	192	0	CLAR16	4	2028-03-11	273500916307193839	GG	404	0	C	N	N	EUR	0		500319265	N	2026-03-12	N
30	5	719382		2003723240888	"SPOLARVÄTSKA T-BLÅ FB  -18 3 L -"		"2026-03-16 08:02:13"	192	0	EMAN10	4	2028-03-11	273500916307193822	GG	404	0	C	N	N	EUR	0		500319265	N	2026-03-12	N
30	5	719376		2003726248888	"KYLARVÄTSKA KONC R-GLYKOL 20 L -"		"2026-03-16 08:00:01"	19	0	EMAN10	4		273500916307193761	GG	404	0	C	N	N	EUR	0		500319265	N		N
30	5	719362		700176504	"STOLPSPJUT JOMA 2X73X73X750MM"		"2026-03-16 07:54:43"	364	0	NUUR54	4		273500916307193624	MG	JKP	0	C	N	N	EUR	0		999111061	N		N
30	5	719359		2003723240888	"SPOLARVÄTSKA T-BLÅ FB  -18 3 L -"		"2026-03-16 07:54:02"	192	0	EMAN10	4	2028-03-11	273500916307193594	GG	404	0	C	N	N	EUR	0		500319265	N	2026-03-12	N
30	5	719358		2003723240888	"SPOLARVÄTSKA T-BLÅ FB  -18 3 L -"		"2026-03-16 07:54:02"	192	0	EMAN10	4	2028-03-11	273500916307193587	GG	404	0	C	N	N	EUR	0		500319265	N	2026-03-12	N
30	5	719335		1235656	"FÅRFODER TACKA FÅRFOR 20KG"		"2026-03-16 07:44:30"	1	0	EMAN10	4	2026-10-31	273500916307193358	GG	404	0	C	N	N	EUR	0		500316877	N	2026-03-05	N
30	5	719334		1235656	"FÅRFODER TACKA FÅRFOR 20KG"		"2026-03-16 07:44:22"	29	0	EMAN10	4	2026-10-31	273500916307193341	GG	404	0	C	N	N	EUR	0		500316877	N	2026-03-05	N
20	5	719291		1232724	"B-VITAMIN FLYTANDE KRAFFT 1L"		"2026-03-16 07:29:31"	84	0	EMAN10	4	2027-03-03	273500916307192917	GG	404	0	C	N	N	EUR	0		500316877	N	2026-03-08	Y
20	5	718108		1238886	"PAVO INSHAPE 15KG"		"2026-03-16 07:10:54"	36	"548,39"	ALEX87	4	2026-08-12	273500916307181089	GG	404	0	C	N	N	EUR	0		500304239	N	2026-01-09	N
20	5	719220		1238886	"PAVO INSHAPE 15KG"		"2026-03-16 06:52:21"	35	0	EMAN10	4	2026-08-12	273500916307192207	GG	404	0	C	N	N	EUR	0		69001			N
30	5	719219		1269287	"SOLID™ GRIPTÅNG/SKRÄPPLOCKARE"		"2026-03-16 06:50:07"	20	0	CLAR16	4		273500916307192191	GG	404	0	C	N	N	EUR	0		500319259	N		N
20	5	719218		1238878	"PAVO 18PLUS ORIGINAL 15KG"		"2026-03-16 06:48:01"	35	0	EMAN10	4	2026-08-13	273500916307192184	GG	404	0	C	N	N	EUR	0		69000			N
20	5	719216		1267309	"SEKATÖR PGX P961 SIDOSKÄR L XSERIES™"		"2026-03-16 06:34:07"	28	0	CLAR16	4		273500916307192160	GG	404	0	C	N	N	EUR	0		500319259	N		Y
30	5	719215		1266308	"GRENSAX L74 POWERGEAR SS"		"2026-03-16 06:32:14"	28	0	CLAR16	4		273500916307192153	GG	404	0	C	N	N	EUR	0		500319259	N		N
30	5	719212		1280078	"GODISBLANDNING LAKRIS 410G"		"2026-03-16 06:23:43"	84	0	CLAR16	4		273500916307192122	GG	404	0	C	N	N	EUR	0		500319918	N		N
20	5	719211		1249086	"MJAU FINA FISKEN 35GR."		"2026-03-16 06:14:56"	50	0	CLAR16	4	2027-01-15	273500916307192115	GG	404	0	C	N	N	EUR	0		500318958	N	2025-07-24	Y
30	5	719019		1249663	"MONSTER CAT ORG ADULT CHI/TUR 6KG"		"2026-03-13 15:39:12"	11	0	ISAK02	4	2027-04-28	273500916307190197	GG	404	0	C	N	N	EUR	0		500316878	N	2026-04-28	N
30	5	718850		200919918	"TÄCKFÄRG DEMIDEKK INFINITY KLASSISK VIT BAS 9L"		"2026-03-13 14:43:34"	44	0	FRAN66	4		273500916307188507	MG	JKP	0	C	N	N	EUR	0		999110770	N		N
30	5	718419		1230087	"MJÖLKERSÄTTNING GG KALV BAS 25KG"		"2026-03-13 12:09:31"	30	0	MALI14	4	2027-02-24	273500916307184196	GG	404	0	C	N	N	EUR	0		500309833	N	2026-02-24	N
30	5	718247		1221695	"TRÄSKAFT 24X1500 MM"		"2026-03-13 11:02:25"	1500	0	EMAN10	4		273500916307182475	GG	404	0	C	N	N	EUR	0		500284183	N		N
30	5	718246		1221695	"TRÄSKAFT 24X1500 MM"		"2026-03-13 11:02:25"	1500	0	EMAN10	4		273500916307182468	GG	404	0	C	N	N	EUR	0		500284183	N		N
30	5	718245		1221695	"TRÄSKAFT 24X1500 MM"		"2026-03-13 11:02:25"	1500	0	EMAN10	4		273500916307182451	GG	404	0	C	N	N	EUR	0		500284183	N		N
30	5	718244		1221695	"TRÄSKAFT 24X1500 MM"		"2026-03-13 11:02:25"	1500	0	EMAN10	4		273500916307182444	GG	404	0	C	N	N	EUR	0		500284183	N		N
30	5	718243		1221695	"TRÄSKAFT 24X1500 MM"		"2026-03-13 11:02:25"	1500	0	EMAN10	4		273500916307182437	GG	404	0	C	N	N	EUR	0		500284183	N		N
30	5	718242		1221695	"TRÄSKAFT 24X1500 MM"		"2026-03-13 11:02:25"	1500	0	EMAN10	4		273500916307182420	GG	404	0	C	N	N	EUR	0		500284183	N		N
20	5	718238		1221992	"SKURBORSTE LEVANG TRÄ NATURFIBER"		"2026-03-13 11:00:11"	840	0	EMAN10	4		273500916307182383	GG	404	0	C	N	N	EUR	0		500284183	N		Y
20	5	718237		1221992	"SKURBORSTE LEVANG TRÄ NATURFIBER"		"2026-03-13 11:00:11"	840	0	EMAN10	4		273500916307182376	GG	404	0	C	N	N	EUR	0		500284183	N		Y
20	5	718236		1221992	"SKURBORSTE LEVANG TRÄ NATURFIBER"		"2026-03-13 11:00:11"	840	0	EMAN10	4		273500916307182369	GG	404	0	C	N	N	EUR	0		500284183	N		Y
20	5	718235		1221992	"SKURBORSTE LEVANG TRÄ NATURFIBER"		"2026-03-13 11:00:11"	840	0	EMAN10	4		273500916307182352	GG	404	0	C	N	N	EUR	0		500284183	N		Y
20	5	718193		1261463	"SÄTTPOTATIS ASTERIX 3KG HÖST"		"2026-03-13 10:53:57"	5	0	MOAE93	4		273500916307181935	GG	404	0	C	N	N	EUR	0		500297356	N		Y
30	5	718187		2003635	"PAVO 18PLUS SENSITIVE 15KG"		"2026-03-13 10:41:46"	36	0	EMAN10	4	2026-07-08	273500916307181874	GG	404	0	C	N	N	EUR	0		500304239	N	2025-12-10	N
30	5	718127		1238880	"PAVO PERFORMANCE 20KG"		"2026-03-13 10:19:48"	28	0	EMAN10	4	2026-08-18	273500916307181270	GG	404	0	C	N	N	EUR	0		500304239	N	2026-01-15	N
30	5	718099		1238883	"PAVO SPEEDIBEET 15KG"		"2026-03-13 10:10:02"	28	0	EMAN10	4	2027-02-27	273500916307180990	GG	404	0	C	N	N	EUR	0		500304239	N	2026-02-02	N
30	5	717528		1243305	"KANINFODER RABBFOR PELLETS 20KG"		"2026-03-13 07:12:44"	30	0	LINU22	4	2026-11-06	273500916307175286	GG	404	0	C	N	N	EUR	0		500314990	N	2026-03-11	N
30	5	717453		1266323	"KVITT SPRAY MOT KRYPANDE INSEKTER"		"2026-03-12 18:21:17"	60	0	LINU22	4		273500916307174531	GG	404	0	C	N	N	EUR	0		500320655	N		N
30	5	717440		1164894	"NPK 21-4-7 25KG<"		"2026-03-12 17:28:29"	40	0	MALI14	4		273500916307174401	GG	404	0	C	N	N	SJÖ	0		500288518	N		N
30	5	717426		1164894	"NPK 21-4-7 25KG<"		"2026-03-12 17:28:29"	40	0	MALI14	4		273500916307174265	GG	404	0	C	N	N	SJÖ	0		500288518	N		N
30	5	717425		1164894	"NPK 21-4-7 25KG<"		"2026-03-12 17:28:29"	40	0	MALI14	4		273500916307174258	GG	404	0	C	N	N	SJÖ	0		500288518	N		N
30	5	717424		1164894	"NPK 21-4-7 25KG<"		"2026-03-12 17:28:29"	40	0	MALI14	4		273500916307174241	GG	404	0	C	N	N	SJÖ	0		500288518	N		N
30	5	717423		1164894	"NPK 21-4-7 25KG<"		"2026-03-12 17:28:29"	40	0	MALI14	4		273500916307174234	GG	404	0	C	N	N	SJÖ	0		500288518	N		N
30	5	717416		1164894	"NPK 21-4-7 25KG<"		"2026-03-12 17:28:29"	40	0	MALI14	4		273500916307174166	GG	404	0	C	N	N	SJÖ	0		500288518	N		N
30	5	717410		1164894	"NPK 21-4-7 25KG<"		"2026-03-12 17:28:29"	40	0	MALI14	4		273500916307174104	GG	404	0	C	N	N	SJÖ	0		500288518	N		N
30	5	717409		1164894	"NPK 21-4-7 25KG<"		"2026-03-12 17:28:29"	40	0	MALI14	4		273500916307174098	GG	404	0	C	N	N	SJÖ	0		500288518	N		N
30	5	717408		1164894	"NPK 21-4-7 25KG<"		"2026-03-12 17:28:28"	40	0	MALI14	4		273500916307174081	GG	404	0	C	N	N	SJÖ	0		500288518	N		N
30	5	717407		1164894	"NPK 21-4-7 25KG<"		"2026-03-12 17:28:28"	40	0	MALI14	4		273500916307174074	GG	404	0	C	N	N	SJÖ	0		500288518	N		N
30	5	717378		1165825	"HÄSTGODIS DELIZIA ÄPPLE 3KG"		"2026-03-12 15:51:01"	90	0	CLAR16	4	2027-08-01	273500916307173787	GG	404	0	C	N	N	EUR	0		500307555	N	2026-02-10	N
30	5	717377		1165825	"HÄSTGODIS DELIZIA ÄPPLE 3KG"		"2026-03-12 15:51:01"	90	0	FELI26	4	2027-08-01	273500916307173770	GG	404	0	C	N	N	EUR	0		500307555	N	2026-02-10	N
30	5	716866		1173943	"RC CAT HAIRBALL CARE 2KG"		"2026-03-12 13:51:23"	6	0	EMAN10	4	2027-08-08	273500916307168660	GG	404	0	C	N	N	EUR	0		500319972	N	2026-02-07	N
30	5	716827		200828968	"VÄGGSPACKEL RULLSPACKEL HERNIA ROLL & BUILD"		"2026-03-12 13:34:00"	45	0	FRAN66	4	2027-03-07	273500916307168271	MG	JKP	0	C	N	N	EUR			999111114	N	2026-03-07	N
30	5	716826		200828968	"VÄGGSPACKEL RULLSPACKEL HERNIA ROLL & BUILD"		"2026-03-12 13:34:00"	45	0	SAND18	4	2027-03-07	273500916307168264	MG	JKP	0	C	N	N	EUR			999111114	N	2026-03-07	N
30	5	716490		1263211	"TRAKTOR TORNADO 398 M"		"2026-03-12 11:03:38"	1	0	MALI14	4		273500916307164907	GG	404	0	C	N	N	EIG	0		500279088	N		N
30	5	716489		1263211	"TRAKTOR TORNADO 398 M"		"2026-03-12 11:03:38"	2	0	MALI14	4		273500916307164891	GG	404	0	C	N	N	EIG	0		500279088	N		N
30	5	716488		1263211	"TRAKTOR TORNADO 398 M"		"2026-03-12 11:03:38"	2	0	MALI14	4		273500916307164884	GG	404	0	C	N	N	EIG	0		500279088	N		N
30	5	716487		1263211	"TRAKTOR TORNADO 398 M"		"2026-03-12 11:03:38"	2	0	MALI14	4		273500916307164877	GG	404	0	C	N	N	EIG	0		500279088	N		N
30	5	716486		1263211	"TRAKTOR TORNADO 398 M"		"2026-03-12 11:03:37"	2	0	MALI14	4		273500916307164860	GG	404	0	C	N	N	EIG	0		500279088	N		N
30	5	716485		1263211	"TRAKTOR TORNADO 398 M"		"2026-03-12 11:03:37"	2	0	MALI14	4		273500916307164853	GG	404	0	C	N	N	EIG	0		500279088	N		N
30	5	716407		1148209	"HYDROFORPUMP 100 HT MAXI JET"		"2026-03-12 10:40:50"	14	0	ISAK02	4		273500916307164075	GG	404	0	C	N	N	EUR	0		500322231	N		N
30	5	716405		1263211	"TRAKTOR TORNADO 398 M"		"2026-03-12 10:40:04"	2	0	MALI14	4		273500916307164051	GG	404	0	C	N	N	EIG	0		500279088	N		N
30	5	716404		1263211	"TRAKTOR TORNADO 398 M"		"2026-03-12 10:40:04"	2	0	MALI14	4		273500916307164044	GG	404	0	C	N	N	EIG	0		500279088	N		N
30	5	716403		1263211	"TRAKTOR TORNADO 398 M"		"2026-03-12 10:40:03"	2	0	MALI14	4		273500916307164037	GG	404	0	C	N	N	EIG	0		500279088	N		N
20	5	689262		10009	"Autostore kartong"		"2026-03-12 10:01:31"	1	117	BRAH17	4		273500916306892627	GG	404	0	C	N	N	EUR			66375			N
20	5	689302		10009	"Autostore kartong"		"2026-03-12 09:53:02"	1	117	SEBA23	4		273500916306893020	GG	404	0	C	N	N	EUR			66415			N
20	5	689264		10009	"Autostore kartong"		"2026-03-12 09:51:57"	1	117	SEBA23	4		273500916306892641	GG	404	0	C	N	N	EUR			66377			N
30	5	716212		1249811	"MARSVINSFODER SELECT PELL 3KG"		"2026-03-12 09:42:03"	50	0	EMAN10	4	2027-05-01	273500916307162125	GG	404	0	C	N	N	EUR	0		500313153	N	2025-10-30	N
30	5	715975		1165205	"VALLFRÖ LIBRA 21 15 KG SW"		"2026-03-12 08:36:47"	20	0	EMAN10	4	2027-09-01	273500916307159750	GG	404	0	C	N	N	EUR	0		500319859	N	2026-03-12	N
20	5	715663		1238051	"VATTENAUTOMAT HÖNS 8L INKL BEN"		"2026-03-12 06:20:31"	35	0	ALEX87	4		273500916307156636	GG	404	0	C	N	N	EUR	0		68762			N
30	5	709161		1267384	"KRUKA CYLINDER RAND BEIGE LASYR D23"		"2026-03-11 07:53:18"	64	"179,2"	WILL32	4		273500916307091616	GG	404	0	C	N	N	EUR	0		68133			N
30	5	713986		1238523	"VETE HEL GG 20KG"		"2026-03-11 07:15:15"	32	0	LINU22	4	2026-03-11	273500916307139868	GG	404	0	C	N	N	EUR	0		500311611	N	2025-03-16	N
30	5	671187		1269329	"DROPPSLANG OVAN/UNDER JORD 25M 13503-20"		"2026-03-11 06:51:09"	8	"11,84"	LUDW05	4		273500916306711874	GG	404	0	C	N	N	EUR	0		500279867	N		N
30	5	709024		2002365545850	"GUMMISTÖVEL MED SÅGSKYDD 45 ORA/SVA"		"2026-03-11 06:50:28"	43	"131,28"	LUDW05	4		273500916307090244	GG	404	0	C	N	N	EUR	0		68117			N
30	5	712664		200101082	"VÅTRUMSTÄCK AQUAFINISH BAS A 9,5L"		"2026-03-10 09:41:11"	40	0	SAND18	4		273500916307126646	MG	JKP	0	C	N	N	EUR	0		999111089	N		N
30	5	707400		1267391	"KRUKA CYLINDER RAND BEIGE LASYR D13"	UTE06	"2026-03-09 16:04:55"	30	"22,5"	HEED12	4		273500916307074008	GG	404	0	C	N	N	EUR	0		500283108	N		Y
