Bolag	Lager	Flödesnamn	Processnamn	Beskrivning	Rader	Kollin	Pallar	Order	"Poäng rader"	"Poäng kolli"	"Poäng pallar"	"Poäng order"	"Mål faktor %"	"Rader faktor %"	"Kollin faktor %"	"Pallar faktor"	"Order faktor %"	"Total faktor %"
S1	FREY	OUTBOUND	Sort_Ecom	"Sortering Ecom"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	OUTBOUND	Manual_Pick	"Manuellt plock"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	OUTBOUND	Autostore	Autostore	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	OUTBOUND	Campaign	Kampanjplock	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MG	JKP	OUTBOUND	Ecom_pack	"E - Handel pack"	0	0	25	0	0	0	4	0	100	0	0	100	0	100
MG	JKP	OUTBOUND	Flammable	"Brandfarligt plock"	30	0	0	0	"3,33"	0	0	0	100	100	0	0	0	100
MG	JKP	OUTBOUND	Bulky_Pick	"Skrymmande Plock"	15	0	0	0	"6,67"	0	0	0	100	100	0	0	0	100
S1	FREY	OUTBOUND	Order_Split	Orderdelning	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	OUTBOUND	E_Commerce	"E - Handel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	OUTBOUND	Full_Pallet_From_HBW	"Helpall från HBW"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	OUTBOUND	Sort_Store	"Sortering Butik"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	OUTBOUND	Flammable	"Brandfarligt plock"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	OUTBOUND	Bulky_Pick	"Skrymmande Plock"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MG	JKP	OUTBOUND	Full_Manual_Buffer	"Helpall från manuell buffert"	0	0	25	0	0	0	4	0	100	0	0	100	0	100
MG	JKP	OUTBOUND	Sort_Ecom	"Sortering Ecom"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MG	JKP	OUTBOUND	Manual_Pick	"Manuellt plock"	45	0	0	0	"2,22"	0	0	0	100	100	0	0	0	100
MG	JKP	OUTBOUND	Autostore	Autostore	140	0	0	0	"0,71"	0	0	0	100	100	0	0	0	100
MG	JKP	OUTBOUND	Campaign	Kampanjplock	120	210	0	0	"0,83"	"0,48"	0	0	100	75	25	0	0	100
MG	JKP	OUTBOUND	Sort_Store	"Sortering Butik"	0	0	65	0	0	0	"1,54"	0	100	0	0	100	0	100
MG	JKP	OUTBOUND	Order_Split	Orderdelning	45	0	0	0	"2,22"	0	0	0	100	75	25	0	0	100
MG	JKP	OUTBOUND	E_Commerce	"E - Handel"	20	0	0	0	5	0	0	0	100	100	0	0	0	100
MG	JKP	OUTBOUND	Full_Pallet_From_HBW	"Helpall från HBW"	0	0	25	0	0	0	4	0	100	0	0	100	0	100
